,vtec,vtec_dt,vtec_dt2,gvtec1,gvtec1_dt,gvtec2,gvtec2_dt,gvtec3,gvtec3_dt,s4,state_night,state_dawn,state_day_shift,vm1,vd1,vm2,vd2,gvtec1_dt_lag_9,gvtec2_dt_lag_20,vtec_dt_lag_3,vtec_i/vtec_i-1,roti_3,roti_5,roti_7,roti_9,roti_11,roti_13,gvtec1/gvtec2,gvtec1_dt/gvtec2_dt,doy,ut
2013-12-01 21:40:00,36.87738982356679,-0.20444711163513848,0.35762666691482076,-3.145823165916504,0.11716411073430372,-3.462129713883656,-0.3528944930469696,-0.64681812925528,0.047805084710315485,0.12266916808434139,1.0,0.0,1.0,38.98365684965422,1.8034812447738857,41.632905033231204,3.426693863590855,-0.5025479636035115,-5.88881517006303,-1.7669874888856185,0.9928313072259202,0.4002368354803356,0.5761225529529631,0.6806062849631525,0.7200001250712954,0.7205280861355953,0.707801056182891,0.9086381579815697,-0.33200889513090076,1.0,78000.0
2013-12-01 21:50:00,37.13127179364966,0.23693786896472516,0.4413849805998637,-2.8211109731270048,0.2583295633432497,-2.1183870023068736,1.1465616321647598,-0.5153788736595073,0.11564663456254637,0.12441865170003151,1.0,0.0,0.0,38.98365684965422,1.8034812447738857,41.632905033231204,3.426693863590855,-0.11421712539450368,-4.578767424669843,-0.6471622606881908,1.0068844886066375,0.4212380461652485,0.590526244481282,0.691642454705071,0.7357620492934741,0.7407147369359492,0.7285621703987691,1.3317259641674921,0.2253080480771992,1.0,78600.0
2013-12-01 22:00:00,37.87766000505199,0.6377024960807824,0.4007646271160574,-2.4493415379755232,0.2786847507185984,0.5625681986126129,2.3202682923572033,-0.31316473365115755,0.14785160912898693,0.1271465304927328,1.0,0.0,0.0,38.98365684965422,1.8034812447738857,41.632905033231204,3.426693863590855,0.10952650051536406,-2.7636603309041985,0.7339986849771165,1.0201013371034058,0.3231805468076438,0.4784201663713051,0.5958924923662157,0.6746810149282587,0.7170358676505234,0.7327766527591169,-4.353857086155969,0.12010884760032531,1.0,79200.0
2013-12-01 22:10:00,38.86334519986639,0.8764987142658907,0.23879621818510807,-2.231518959431291,0.1395872931380566,3.802143193821695,2.8789564129442327,-0.15689089379946086,0.08587215205037067,0.12934716268537352,1.0,0.0,0.0,38.98365684965422,1.8034812447738857,41.632905033231204,3.426693863590855,0.15204418130491026,-1.0559258482752365,1.9859553762996,1.0260228639964277,0.15759349057406152,0.2918747016920996,0.43083785947702596,0.5512609783468065,0.6445421282796284,0.7072432385130162,-0.5869108146840458,0.04848537911531087,1.0,79800.0
2013-12-01 22:20:00,39.85006045384163,0.9352561536396057,0.05875743937371509,-2.338082934932621,-0.1312454594250241,6.832141448280548,2.8079420928441103,-0.20143568977637735,-0.09148593672686399,0.12947764178204701,1.0,0.0,0.0,38.98365684965422,1.8034812447738857,41.632905033231204,3.426693863590855,0.03875386114749624,-0.017513354099484957,2.7187886601919686,1.025389354645123,0.030316779574283595,0.1162857883545535,0.2460628593806723,0.39294876730991896,0.5300412571509022,0.6311005529802486,-0.3422181687296666,-0.046740799876000334,1.0,80400.0
2013-12-01 22:30:00,40.734126003445006,0.8929161894156903,-0.042339964223915505,-2.8204292308833514,-0.44632498904564905,9.178625476925006,2.3473638254931486,-0.5515109405058313,-0.34222985599960837,0.12807591818857192,1.0,0.0,0.0,38.98365684965422,1.8034812447738857,41.632905033231204,3.426693863590855,-0.22896683050319,0.13587241450775167,2.8564659983930127,1.022184798204444,0.04649497403168166,0.039312218433322485,0.09957073805866255,0.2367548975490294,0.3813535650880514,0.4992706220866316,-0.30728230909670395,-0.19013882049233777,1.0,81000.0
2013-12-01 22:40:00,41.55174466815811,0.8423864964742869,-0.05052969294140341,-3.600298851774754,-0.6984983371934045,10.847808729621558,1.8751295639067231,-1.1952370985288963,-0.5701852928228744,0.12635176726223385,1.0,0.0,0.0,38.98365684965422,1.8034812447738857,41.632905033231204,3.426693863590855,-0.6792161399637218,-0.26561879326112603,2.6883994682917205,1.0200720807080519,0.029755132063426636,0.04301431926259157,0.06707343976063111,0.11746604102808812,0.2250772378154928,0.3908070428290322,-0.3318918079688851,-0.37250670601028973,1.0,81600.0
2013-12-01 22:50:00,42.35036686771739,0.8404269742512874,-0.0019595222229993356,-4.512245772847162,-0.7958494229636096,12.306616989824851,1.7139247008748935,-1.9807378482095406,-0.6622190431991052,0.12494641288360965,1.0,0.0,0.0,38.98365684965422,1.8034812447738857,41.632905033231204,3.426693863590855,-1.3168169638115552,-0.4699159817145251,2.5003064138757622,1.019219943854037,0.04354143853521869,0.07947744488878147,0.07865191923054077,0.10110049654634512,0.2641711386162567,0.4736413630137034,-0.3666520032741655,-0.46434328331773195,1.0,82200.0
2013-12-01 23:00:00,43.20849795188024,0.9168036239832134,0.07637664973192576,-5.316122073557204,-0.6816650621823598,14.139213564275988,1.9283347303524505,-2.642301649758278,-0.5440095798943771,0.12350452717325992,1.0,0.0,0.0,38.98365684965422,1.8034812447738857,41.632905033231204,3.426693863590855,-2.030985267152618,0.2519285895479122,2.474371948435234,1.0202626599869429,0.09801721861608177,0.09456885530487838,0.11532693373886016,0.28831710438017233,0.5006963970717274,0.6844364581142086,-0.3759842829582029,-0.35349934399499655,1.0,82800.0
2013-12-01 23:10:00,44.291752343684436,1.0349709225130608,0.11816729852984768,-5.737014448103271,-0.37725559289674787,16.585020007056414,2.247925925517216,-2.9176451489486612,-0.23787699149814726,0.12253862813642781,1.0,0.0,0.0,38.98365684965422,1.8034812447738857,41.632905033231204,3.426693863590855,-2.591191282186767,2.1701895043868706,2.7400076755263285,1.0250704014985796,0.06536681428353826,0.13844658643448168,0.3254480250634727,0.5462595025009326,0.7404312337069866,0.8731389941501587,-0.34591543728390733,-0.1678238542535367,1.0,83400.0
