,vtec,vtec_dt,vtec_dt2,gvtec1,gvtec1_dt,gvtec2,gvtec2_dt,state_night,state_dawn,vm1,vd1,vm2,vd2,gvtec1_dt_lag_9,gvtec2_dt_lag_20,vtec_dt_lag_3,s4
2013-12-01 21:40:00,36.87738982356678,-0.17003331173202596,0.33507785716238286,-3.048064769580242,0.09628948496929232,-2.9072145308808772,-0.26535492746715694,1.0,0.0,38.98365684965422,1.8034812447738868,41.632905033231204,3.4266938635908573,-0.566764246185647,-5.5028106220745565,-1.7669874888856256,0.17782238331982203
2013-12-01 21:50:00,37.13127179364966,0.21665522649743513,0.3866885382294609,-2.7732962333819615,0.1727397209956781,-1.7500931883975108,0.9063070998560252,1.0,0.0,38.98365684965422,1.8034812447738868,41.632905033231204,3.4266938635908573,-0.21043761168449482,-4.341393384117689,-0.6471622606881908,0.18004877645660164
2013-12-01 22:00:00,37.877660005051986,0.5601462961325232,0.3434910696350881,-2.484818825440829,0.1586933199727122,0.5838672701582879,1.8574519088115926,1.0,0.0,38.98365684965422,1.8034812447738868,41.632905033231204,3.4266938635908573,0.0543841925317361,-2.8301108512002475,0.7339986849771094,0.18368795193348272
2013-12-01 22:10:00,38.86334519986638,0.7956849947248685,0.23553869859234522,-2.3415639921354083,0.03191269653635417,3.496343710691043,2.4216276180641545,1.0,0.0,38.98365684965422,1.8034812447738868,41.632905033231204,3.4266938635908573,0.147565927155481,-1.4255553103775616,1.9859553762996,0.18690276628948835
2013-12-01 22:20:00,39.85006045384163,0.9029247169649536,0.10723972224008498,-2.4746935716578577,-0.18149065606962803,6.352722999294449,2.587949292092471,1.0,0.0,38.98365684965422,1.8034812447738868,41.632905033231204,3.4266938635908573,0.03932675069049196,-0.5245238469970763,2.7187886601919686,0.1874460931735452
2013-12-01 22:30:00,40.734126003445,0.9120686631762261,0.009143946211272586,-2.9397429540207636,-0.41224040416055624,8.772829054061479,2.4895079173484707,1.0,0.0,38.98365684965422,1.8034812447738868,41.632905033231204,3.4266938635908573,-0.2753549382997309,-0.2223575884162834,2.8564659983930127,0.1857363144951919
2013-12-01 22:40:00,41.55174466815811,0.8977911100012663,-0.014277553174959795,-3.671898603076773,-0.5759616073325458,10.769271201328332,2.3180248337179865,1.0,0.0,38.98365684965422,1.8034812447738868,41.632905033231204,3.4266938635908573,-0.771098495495099,-0.2264461995090148,2.6883994682917276,0.18334971962039706
2013-12-01 22:50:00,42.35036686771739,0.9266503829286256,0.02885927292735947,-4.479854784674816,-0.6118420459380318,12.650886923834179,2.2082832574149127,1.0,0.0,38.98365684965422,1.8034812447738868,41.632905033231204,3.4266938635908573,-1.3685969434702017,0.00836168052577868,2.5003064138757622,0.18099071845501427
2013-12-01 23:00:00,43.20849795188024,0.9913321611299333,0.06468177820130736,-5.1235064195495355,-0.5134211230961001,14.734551771445384,2.1550626332356013,1.0,0.0,38.98365684965422,1.8034812447738868,41.632905033231204,3.4266938635908573,-1.9460518039257,0.9532879483455137,2.474371948435241,0.17776458598369743
2013-12-01 23:10:00,44.291752343684436,1.0088716700901372,0.017539508960203995,-5.449179464209741,-0.3384580542520604,17.040743552908808,2.0121035998354673,1.0,0.0,38.98365684965422,1.8034812447738868,41.632905033231204,3.4266938635908573,-2.401114694629499,2.67241324634697,2.7400076755263285,0.17538031561187586
2013-12-01 23:20:00,45.53216534788576,0.8798631264330133,-0.1290085436571238,-5.481755063220377,-0.19196997949272532,19.177918304217716,1.5817915086917924,1.0,0.0,38.98365684965422,1.8034812447738868,41.632905033231204,3.4266938635908573,-2.7084588298384156,4.7259241724445875,3.181798480168368,0.18770430920001316
2013-12-01 23:30:00,46.415469980332475,0.5504585680100098,-0.32940455842300354,-5.411398337898679,-0.18050528002683025,20.482972113142857,0.754285796147425,1.0,0.0,38.98365684965422,1.8034812447738868,41.632905033231204,3.4266938635908573,-2.9265795124578498,6.3831633154662,3.2069720284522347,0.22673066347127635
2013-12-01 23:40:00,46.54391499292573,0.04227814367586707,-0.5081804243341428,-5.513524012978264,-0.34861982168984973,20.335989263421098,-0.38175971424595706,1.0,0.0,38.98365684965422,1.8034812447738868,41.632905033231204,3.4266938635908573,-3.1719600208428558,7.008292989865801,2.252162649241292,0.2805084342578871
2013-12-01 23:50:00,45.838890789389865,-0.5412668135758172,-0.5835449572516842,-6.0451551188685935,-0.6313808482996689,18.511439168503543,-1.5307018953635823,1.0,0.0,38.98365684965422,1.8034812447738868,41.632905033231204,3.4266938635908573,-3.5704615472107357,6.427878182693892,0.3067254415041063,0.330549914984919
2013-12-02 00:00:00,44.52855530736652,-1.0373223250481698,-0.49605551147235255,-7.090385451979756,-0.8599681980326755,15.429305271051938,-2.299997092406781,0.0,1.0,38.98365684965422,1.8034812447738868,41.632905033231204,3.4266938635908573,-4.150642497958993,5.147433653161972,-1.8869146729659576,0.36713131236784075
2013-12-02 00:10:00,42.94414185914984,-1.3029519217158978,-0.26562959666772806,-8.385933762529413,-0.8254528379278641,12.113121644536474,-2.373983650123227,0.0,1.0,38.98365684965422,1.8034812447738868,41.632905033231204,3.4266938635908573,-4.71403515945264,4.239509331433708,-3.5997731337758907,0.37744676675587696
2013-12-02 00:20:00,41.40298363980569,-1.3005713776138577,0.0023805441020401043,-9.320476273884442,-0.3722855219492105,9.766103041193164,-1.6661387421466165,0.0,1.0,38.98365684965422,1.8034812447738868,41.632905033231204,3.4266938635908573,-4.840621489209625,4.811193076480121,-4.435907149584175,0.3524112882568291
